n,exact_E_T,log2_E_T,n_nplus1_over_2,log2_residual,normalized_ratio
2,10,3.321928094887362,3.0,0.321928094887362,1.250000000000000
3,58,5.857980995127572,6.0,-0.142019004872428,0.906250000000000
4,602,9.233619676759702,10.0,-0.766380323240298,0.587890625000000
5,14106,13.784021324374178,15.0,-1.215978675625822,0.430480957031250
6,755610,19.527282269406797,21.0,-1.472717730593203,0.360302925109863
7,87665306,26.385502665777985,28.0,-1.614497334222016,0.326578713953495
8,21246839962,34.306529234351620,36.0,-1.693470765648378,0.309182213997701
9,10550999832730,43.262444951461000,45.0,-1.737555048539001,0.299877451446093
10,10622132397727898,53.237922935075480,55.0,-1.762077064924519,0.294823398964358
11,21550601688453681306,64.224361952491210,66.0,-1.775638047508792,0.292065114612391
12,87816587007152179196058,76.216911552713610,78.0,-1.783088447286389,0.290560712931570
